DEBUG - 2015-06-12 11:31:31 --> test message
DEBUG - 2015-06-12 12:44:03 --> Incorrect mode selected.
ERROR - 2015-06-12 12:44:03 --> Incorrect mode selected.
DEBUG - 2015-06-12 12:44:45 --> Incorrect mode selected.
ERROR - 2015-06-12 12:44:45 --> Incorrect mode selected.
DEBUG - 2015-06-12 12:48:10 --> Incorrect mode selected.
ERROR - 2015-06-12 12:48:10 --> Incorrect mode selected.
DEBUG - 2015-06-12 12:49:12 --> Incorrect mode selected.
ERROR - 2015-06-12 12:49:12 --> Incorrect mode selected.
DEBUG - 2015-06-12 12:49:45 --> Incorrect mode selected.
ERROR - 2015-06-12 12:49:45 --> Incorrect mode selected.
DEBUG - 2015-06-12 12:58:52 --> Incorrect mode selected.
ERROR - 2015-06-12 12:58:52 --> Incorrect mode selected.
